ID,URL,Title,Meta Description,H1 Tags,Links,Images,Tables,Timestamp
1,https://example.com,Example Domain,,Example Domain,https://www.iana.org/domains/example,,,2024-12-17 19:53:34
8,https://www.iana.org/domains/example,Example Domains,,Example Domains,"http://pti.icann.org, http://www.icann.org/, https://www.icann.org/privacy/policy, https://www.icann.org/privacy/tos",/_img/2022/iana-logo-header.svg (alt: Homepage),Domain NamesRoot Zone Registry.INT Registry.ARPA RegistryIDN RepositoryNumber ResourcesAbuse InformationProtocolsProtocol RegistriesTime Zone DatabaseAbout UsPerformanceReportsReviewsExcellenceContact Us,2024-12-17 19:59:52
9,https://www.iana.org/,Internet Assigned Numbers Authority,,Internet Assigned Numbers Authority,"http://pti.icann.org, http://www.icann.org/, https://www.icann.org/privacy/policy, https://www.icann.org/privacy/tos",,Domain NamesRoot Zone Registry.INT Registry.ARPA RegistryIDN RepositoryNumber ResourcesAbuse InformationProtocolsProtocol RegistriesTime Zone DatabaseAbout UsReportsPerformanceReviewsExcellenceContact Us,2024-12-17 19:59:53
10,https://www.iana.org/domains,Domain Name Services,,Domain Name Services,"http://pti.icann.org, http://www.icann.org/, https://www.icann.org/privacy/policy, https://www.icann.org/privacy/tos",/_img/2022/iana-logo-header.svg (alt: Homepage),Domain NamesRoot Zone Registry.INT Registry.ARPA RegistryIDN RepositoryNumber ResourcesAbuse InformationProtocolsProtocol RegistriesTime Zone DatabaseAbout UsPerformanceReportsReviewsExcellenceContact Us,2024-12-17 19:59:54
